preco;ano;kms;cidade;estado;modelo_carro;marca
6995;2007;129301;Dalton; GA;Accord;Honda
6995;2007;133124;Tallmadge; OH;Accord;Honda
6995;2008;87783;Pompano Beach; FL;Accord;Honda
6995;2008;111456;Honolulu; HI;Accord;Honda
6995;2008;119376;Saddle Brook; NJ;Accord;Honda
6995;2008;135152;Brooklyn; NY;Accord;Honda
6995;2008;139906;Torrington; CT;Accord;Honda
6995;2009;135874;Virgina Beach; VA;Accord;Honda
6995;2009;136887;Norfolk; VA;Accord;Honda
6995;2009;136983;Jersey City; NJ;Accord;Honda
6995;2009;141294;Winter Park; FL;Accord;Honda
6995;2009;129608;Knoxville; TN;Accord;Honda
6995;2010;100203;Sterling Heights; MI;Accord;Honda
6995;2010;121197;San Antonio; TX;Accord;Honda
6995;2010;124170;Laurel; MD;Accord;Honda
6995;2010;133030;Clinton Township; MI;Accord;Honda
6995;2010;129244;Hackettstown; NJ;Accord;Honda
6995;2010;135129;New London; CT;Accord;Honda
6995;2011;137109;St. Charles; MO;Accord;Honda
6997;2010;124929;Miami; FL;Accord;Honda
6998;2006;128104;Encinitas; CA;Accord;Honda
6998;2006;142115;Morristown; TN;Accord;Honda
6998;2008;88724;Tampa; FL;Accord;Honda
6998;2008;129560;Midwest City; OK;Accord;Honda
6998;2009;129822;Langhorne; PA;Accord;Honda
6999;2006;93987;Baltimore; MD;Accord;Honda
6999;2006;137775;Brooklyn Park; MN;Accord;Honda
6999;2006;136915;Marrero; LA;Accord;Honda
6999;2007;63560;Hasbrouck Heights; NJ;Accord;Honda
6999;2007;87839;Gainesville; FL;Accord;Honda
6999;2007;80900;Hollywood; FL;Accord;Honda
6999;2007;103000;Queens Village; NY;Accord;Honda
6999;2007;112000;Norcross; GA;Accord;Honda
6999;2008;124315;Phoenix; AZ;Accord;Honda
6999;2008;129013;Glen Burnie; MD;Accord;Honda
6999;2008;141346;Nashville; TN;Accord;Honda
6999;2009;111177;Elgin; IL;Accord;Honda
6999;2009;141933;Buford; GA;Accord;Honda
7000;2006;75372;Mt. Prospect; IL;Accord;Honda
7000;2006;99791;Tampa; FL;Accord;Honda
7000;2006;122329;Tampa; FL;Accord;Honda
7000;2006;87043;Richardson; TX;Accord;Honda
7000;2007;132318;Dallas; TX;Accord;Honda
7000;2007;81800;Tuscon; AZ;Accord;Honda
7000;2007;91840;Macomb; MI;Accord;Honda
7000;2007;127929;Jasper; AL;Accord;Honda
7000;2007;140412;Richmond; VA;Accord;Honda
7000;2010;122162;Richardson; TX;Accord;Honda
7000;2011;105193;Manalapan; NJ;Accord;Honda
7078;2010;106970;Tampa; FL;Accord;Honda
7100;2006;114636;North Salt Lake; UT;Accord;Honda
7100;2007;130618;Salt Lake City; UT;Accord;Honda
7100;2012;102000;Burlington; NC;Accord;Honda
7195;2009;130001;Winter Haven; FL;Accord;Honda
7220;2007;134443;Ballwin; MO;Accord;Honda
7242;2007;141016;Murray; UT;Accord;Honda
7250;2006;117182;Daphne; AL;Accord;Honda
7250;2006;132322;Smithfield; RI;Accord;Honda
7250;2007;118303;fredericksburg; VA;Accord;Honda
7250;2008;139201;Paramus; NJ;Accord;Honda
7264;2007;112793;Jacksonville; FL;Accord;Honda
7271;2010;103053;KEYPORT; NJ;Accord;Honda
7280;2006;124856;Pleasanton; CA;Accord;Honda
7291;2008;137054;Auburn; MA;Accord;Honda
7295;2007;122000;San Diego; CA;Accord;Honda
7295;2007;143924;Pueblo; CO;Accord;Honda
7295;2008;128453;South Amboy; NJ;Accord;Honda
7295;2010;108617;Houston; TX;Accord;Honda
7295;2010;129497;Arlington; VA;Accord;Honda
7296;2006;78671;Chantilly; VA;Accord;Honda
7339;2007;123527;Indianapolis; IN;Accord;Honda
7350;2007;122589;Monticello; MN;Accord;Honda
7376;2006;111048;El Cajon; CA;Accord;Honda
7377;2006;93124;West Allis; WI;Accord;Honda
7386;2008;116797;RICHFIELD; MN;Accord;Honda
7388;2008;112653;Bedford; OH;Accord;Honda
7394;2007;130000;Lithia Springs; GA;Accord;Honda
7394;2008;136440;Cumming; GA;Accord;Honda
7395;2007;118100;Fredericksburg; VA;Accord;Honda
7395;2008;93469;Sanford; NC;Accord;Honda
7395;2010;111142;Lodi; NJ;Accord;Honda
7400;2007;92287;Watertown; CT;Accord;Honda
7400;2008;120730;Avon; IN;Accord;Honda
7415;2007;108387;Fishers; IN;Accord;Honda
7421;2006;119881;Rockville; MD;Accord;Honda
7428;2009;107151;Monroeville; PA;Accord;Honda
7442;2009;124646;Willow Grove; PA;Accord;Honda
7444;2007;135479;Conway; AR;Accord;Honda
7444;2008;107370;West Caldwell; NJ;Accord;Honda
7444;2010;110570;Reading; PA;Accord;Honda
7448;2008;92550;Union; NJ;Accord;Honda
7450;2008;133886;Hudson; WI;Accord;Honda
7450;2009;107745;Grove City; OH;Accord;Honda
7472;2007;77982;Chantilly; VA;Accord;Honda
7472;2009;125174;Manchester; NH;Accord;Honda
7475;2008;134386;Spring; TX;Accord;Honda
7488;2007;122919;Westlake; OH;Accord;Honda
7488;2009;97934;North Miami Beach; FL;Accord;Honda
7491;2007;126798;Hurst; TX;Accord;Honda
7495;2006;104859;Tigard; OR;Accord;Honda
7495;2007;102798;Louisville; KY;Accord;Honda
7495;2007;73570;LA HABRA; CA;Accord;Honda
7495;2007;106290;Van Nuys; CA;Accord;Honda
7495;2007;117298;Tucson; AZ;Accord;Honda
7495;2007;119210;Merritt Island; FL;Accord;Honda
7495;2008;113630;Colorado Springs; CO;Accord;Honda
7495;2008;119474;Virginia Beach; VA;Accord;Honda
